budget	link	location	post_date	propose_amount	title	view	content	office	time_limit	owner_positive
10萬~30萬	http://case.518.com.tw/casepage-detail-115520.html?from=google&a_id=3471	不拘	2017-03-06	48	【網頁】RWD+功能製作+訂單功能	2779	"1.案件內容：我們已有舊版網站需要改版，以舊版網站的後台+新版規劃：
                     1. 網頁切版(切版與原設計版面須達到95%)
                     2. 訂單功能(會搭配第三金流公..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【一般案件】	低
5千~1萬	http://case.518.com.tw/casepage-detail-119114.html?from=google&a_id=3471	新北市	2017-03-06	53	簡易網站設計	2787	"1.案件說明：簡易網站設計,為一公益合唱團體,希望能夠於短時間完成,有誠意配合度高.
2.配合時間：洽談
3.配合地點：台北市,新北市
4.注意事項：案件金額可討論後報價欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【一般案件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-119898.html?from=google&a_id=3471	高雄市	2017-03-06	28	網頁設計	1374	"1.案件說明：(需有購物網站經驗，配合網站產品上架，產品介紹頁面設計，網站版型設計)
2.配合時間：(長期配合)
3.配合地點：(在家作業、駐點做業)
4.注意事項：(需有作品)欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	60 天 【長期合作】 (註:尋找日後配合人選)	低
5千以內	http://case.518.com.tw/casepage-detail-119445.html?from=google&a_id=3471	彰化縣	2017-03-06	45	徵求平面美編設計-論件計酬【長期合作】	2754	"案件說明：徵求擅長使用Photoshop、Illustrator等軟體專業人員，本公司為食品批發經銷商，              另有經營電子商務平台，不定時有EDM設計及版面banner設計需求。
	      長期：
  ..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【長期合作】 (註:尋找日後配合人選)	低
1萬~5萬	http://case.518.com.tw/casepage-detail-114114.html?from=google&a_id=3471	不拘	2017-03-06	9	線上博弈運動網 需前台後台 即時更改賠率	1993	"1.案件說明：線上博弈運動網 需前台.後台 新增.會員管理 即時""更改賠率""功能 線上客服功能(與客戶對話)討論區， 做完須整套原始檔
2.配合時間：(隨時)
3.配合地點：(都可)
4...欲查看案件詳細內容，請先登入或免費註冊"	在家工作	30 天 【長期合作】 (註:尋找日後配合人選)	中
1萬~5萬	http://case.518.com.tw/casepage-detail-119238.html?from=google&a_id=3471	台北市	2017-03-06	3	PM專案經理	1278	"1.案件說明：需求訪談、專案時程控管與專案順利執行等工作
2.配合時間：長期合作
3.配合地點：台北市
4.注意事項：政府標案經驗至少三年，具備PMP證照尤佳，須能獨立工作欲查看案件詳細內容，請先登入或免費註冊"	須定期至指定公司	60 天 【長期合作】 (註:尋找日後配合人選)	中
1萬~5萬	http://case.518.com.tw/casepage-detail-116520.html?from=google&a_id=3471	不拘	2017-03-05	36	網頁設計	1075	"1.案件內容：設計網站 響應是網頁 適合手機
2.配合時間：在家工作
3.配合地點：中和板橋
4.注意事項：需要簡易後台 需要規劃簡易購物車欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【一般案件】	低
1萬~5萬	http://case.518.com.tw/casepage-detail-118594.html?from=google&a_id=3471	台北市	2017-03-05	12	群眾募資(眾籌)網站程式設計	1084	"1.案件說明：群眾募資(眾籌)網站開發
2.配合時間：長期有網站修改或開發的需求
3.配合地點：可在家工作,責任制.
4.注意事項：可以全部自行設計開發,也可以用我們提供的PHP眾籌網站來修..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	10 天 【長期合作】 (註:尋找日後配合人選)	低
5千~1萬	http://case.518.com.tw/casepage-detail-104564.html?from=google&a_id=3471	台南市	2017-03-05	57	婚紗攝影工作室網頁設計	10232	"1.案件說明：
設計網頁並完成架站,網站架構如附件所示,另外要求:
(1)請用WORDPRESS套版(RWD功能)
(2)CPENAL操作畫面
(3)用""網易""的空間,管理費由工作室支付
2.配合時間：接案後一個..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	30 天 【急件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-114798.html?from=google&a_id=3471	台北市	2017-03-04	28	行銷活動規劃執行(網路商店)	2489	"1.案件說明：發案方經營美容產品，請接案人規劃網路平台行銷相關內容，
針對pchome&奇摩超級商城兩個商店之整體行銷企劃，內容須涵蓋行銷活動，文案活動內容需具創意性。
2.配合時間：兩個月..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	30 天 【長期合作】 (註:尋找日後配合人選)	中
5千~1萬	http://case.518.com.tw/casepage-detail-119492.html?from=google&a_id=3471	台北市	2017-03-04	49	網站網頁banner/平面DM型錄設計	2399	"1.案件說明:網路購物平台banner/網頁設計及平面海報型錄DM，產品相關網頁美編修圖，並更新網站內容
2.配合時間:初期先配合二至三個月，若合適者可長期配合
3.配合地點:初期需先了解運作事..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	30 天 【長期合作】 (註:尋找日後配合人選)	中
